Name,Author,Pages,Format,Platform,Year Read,Bin
A beginners guide to the stock market,Mathew R. Kratter,100,Ebook,Amazon Prime,2021,Short
A wrinkle in time,Madeleine L'Engle,129,Ebook,Google Drive,2026,Medium
Abundance beyond trauma: Discovering the courage for change and commitment to yourself,Jeannine L. Rashidi,169,Ebook,Amazon Prime,2022,Medium
As a man thinketh,James Allen,32,Print,QPL,2024,Short
Atomic habits: an easy and proven way to build good habits and break bad ones,James Clear,298,Print,Amazon,2021,Medium
Be Quiet! (Mother Bruce Book 3),Ryan T. Higgins,22,Ebook,Kindle,2023,Short
"Better data visualizations: A guide for scholars, researchers and wonks",Jonathan Schwabish,449,Print,Amazon,2023,Long
Buried (Hush collection),Jeffery Deaver,93,Audiobook,Amazon Prime,2025,Short
Can you feel this (Inheritance Collection Book 2),Julie Orringer,36,Audiobook,Amazon Prime,2025,Short
Computing machinery and intelligence,Alan M. Turing,23,Research Paper,Google Drive,2023,Short
"Credit spread options for beginners: turn your most boring stocks into reliable monthly paychecks using call, put & iron butterfly spreads - even if the market is doing nothing",Freeman Publications,134,Ebook,Amazon Prime,2021,Medium
"Dear Girl, A celebration of wonderful, smart and beautiful you!",Amy Krouse Rosenthal & Paris Rosenthal,40,Print,Amazon,2022,Short
Deep Work: Rules for focused success in a distracted world,Cal Newport,287,Ebook,Google Drive,2023,Medium
Don't believe everything you think: Why your thinking is the beginning and end of suffering,Joseph Nguyen,224,Ebook,Hoopla,2025,Medium
End game: An insurgency on wall street,Sheelah Kolhatkar,49,Ebook,Amazon Prime,2025,Short
Everything my mother taught me (Inheritance Collection Book 1),Alice Hoffman,28,Audiobook,Amazon Prime,2025,Short
"Food of the gods. The search for the original tree of knowledge: A radical history of plants, drugs, and human evolution",Terence McKenna,313,Audiobook,Hoopla,2026,Long
"Forgiving what you can't forget: Discover how to move on, make peace with painful memories, and create a life that's beautiful again",Lisa Terkeurst,270,Ebook,Amazon Prime,2025,Medium
Get to the point: Sharpen your message and make your words matter,Joel Schwartzberg,129,Ebook,Amazon Prime,2025,Medium
God's favorite,Brittany Green,31,Ebook,Kindle,2025,Short
God's worn out servants (Terreldor Press Shorts Book 3),Tattie Maggard & Chris Hibbard,17,Ebook,Kindle,2025,Short
"Heart sick: Connecting the dots between hope, disappointment and healing",Conscious Core,107,Ebook,Kindle,2021,Medium
How to win friends and influence people,Dale Carnegie,250,Print,Amazon,2021,Medium
I will teach you to be rich: No guilt. No excuses. No BS. Just a 6-week program that works,Ramit Sethi,342,Audiobook,Hoopla,2024,Long
If you had controlling parents: How to make peace with your past and take your place in the world,Dan Neuharth,274,Ebook,Kindle,2022,Medium
Ikigai: The Japanese secret to a long and happy life,Héctor Garcia & Francesc Miralles,204,Ebook,Kindle,2024,Medium
In God's eyes (Terreldor Press Shorts Book 2),Chris Hibbard,25,Ebook,Kindle,2025,Short
Influencing the unseen realm: How to influence the spirit realm for victory in the physical realm,Francis Jonah,136,Ebook,Kindle,2025,Medium
Ingredients: the strange chemistry of what we put in and on us,Goerge Zaidan,299,Print,Gift,2022,Medium
Instagasm: An erotic novella,Quisha Dynae,128,Audiobook,Kindle,2025,Medium
Intermittent fasting basics: Your guide to the essentials of intermittent fasting - and how it can work for you!,Lindsay Boyers,219,Print,Gift,2021,Medium
"Learning SQL: Generating, Manipulating and Retrieving Data",Alan Beaulieu,610,Audiobook,Hoopla,2023,Long
Let her be (Hush collection),Lisa Unger,71,Audiobook,Amazon Prime,2025,Short
Love on the menu: A totally perfect heart-warming and uplifting romantic comedy,Mimi Deb,414,Audiobook,Kindle,2025,Long
Make your bed: Little things that can change your life... and maybe the world,William H. McRaven,130,Print,QPL,2024,Medium
"Margin: Restoring emotional, physical, financial and time reserves to overloaded lives",Richard A. Swenson,244,Ebook,Kindle,2023,Medium
Market Wizards: Interviews with top traders,Jack D. Schwager,480,Print,Amazon,2024,Long
Noise trading and illusory corrections in the US equity markets,Jennifer C. Bender & Carol L. Osler & David Simon,47,Research Paper,Google Drive,2021,Short
"Not your everyday tales: A collection of short stories, Volume 1",Ginny Davis,134,Ebook,Kindle,2025,Medium
Outwitting the devil: The secret to freedom and success,Napoleon Hill,302,Ebook,Google Drive,2021,Long
Rafiki the Chameleon,Brent Todd,46,Print,Gift,2023,Short
Receiving healing through forgiveness: A guide to freedom,Winsome Williams,228,Ebook,Kindle,2023,Medium
Red Riding Hood,Lydia L. Very,53,Ebook,Kindle,2023,Short
Resonate: Present visual stories that transform audiences,Nancy Duarte,336,Ebook,Kindle,2023,Long
Rich dad's cashflow quadrant: Guide to financial freedom,Robert T. Kiyosaki,282,Ebook,Google Drive,2021,Medium
Self-Made Man: One woman's year disguised as a man,Norah Vincent,312,Audiobook,Hoopla,2025,Long
"Show don't tell: How to write vivid descriptions, handle backstory, and describe your characters' emotions (Writers' Guide Series)",Sandra Gerth,114,Ebook,Kindle,2024,Medium
Slow Burner (Hush collection),Laura Lippman,38,Audiobook,Amazon Prime,2025,Short
Snowflakes (Hush collection),Ruth Ware,31,Audiobook,Amazon Prime,2025,Short
Stone soup,Marcia Brown,52,Print,DiscoverBooks.com,2021,Short
Storytelling with data: A visualization guide for business professionals,Cole Nussbaumer Knaflic,255,Print,Amazon,2023,Medium
Surrounded by idiots: The four types of human behavior and how to effectively communicate with each in business (and in life),Thomas Erikson,311,Audiobook,Archive.com,2025,Long
Switch: How to change things when change is hard,Chip Heath & Dan Heath,322,Ebook,Kindle,2023,Long
Ten interesting things about human behavior,Suzanne Davis,32,Ebook,Kindle,2026,Short
"The 4 hour work week: Escape the 9-5, live anywhere and join the new rich",Timothy Ferriss,324,Audiobook,Youtube,2023,Long
The 48 laws of power,Robert Greene & Richard Poe,864,Audiobook,Youtube,2024,Long
The 7 habits of highly effective people: Powerful lessons in personal change,Stephen R. Covey,556,Ebook,Amazon Prime,2023,Long
The Alchemist,Paul Coelho,87,Ebook,Kindle,2024,Short
"The art of saying NO: How to stand your ground, reclain your time and energy, and refuse to be taken for granted (Without feeling guilty)",Damon Zahariades,160,Ebook,Amazon Prime,2022,Medium
